Date,Open,High,Low,Close,Adj Close,Volume
2018-05-01,66.150002,67.989998,65.589996,67.800003,66.498268,4360300
2018-05-02,67.940002,68.889999,67.660004,68.389999,67.076935,7675100
2018-05-03,68.489998,71.029999,64.059998,66.820000,65.537079,22232000
2018-05-04,66.300003,69.919998,66.019997,69.839996,68.499092,11358700
2018-05-07,70.269997,70.730003,69.599998,70.370003,69.018921,5744500
2018-05-08,69.660004,70.160004,69.180000,69.610001,68.273514,4059200
2018-05-09,69.980003,72.040001,69.809998,71.309998,69.940872,5664500
2018-05-10,71.779999,72.910004,71.320000,72.900002,71.500343,5069900
2018-05-11,72.769997,72.779999,71.269997,71.699997,70.323380,4996300
2018-05-14,71.870003,72.339996,71.040001,71.699997,70.323380,2964800
2018-05-15,70.980003,71.160004,69.669998,70.169998,68.822762,3896200
2018-05-16,71.129997,71.940002,70.099998,70.330002,68.979691,5029500
2018-05-17,70.300003,71.900002,70.110001,71.660004,70.284157,6447400
2018-05-18,71.519997,72.139999,71.050003,71.989998,70.607811,5673300
2018-05-21,72.500000,73.500000,71.190002,71.449997,70.078186,6392100
2018-05-22,71.949997,72.570000,71.230003,71.349998,69.980095,4008800
2018-05-23,70.730003,71.809998,70.550003,71.739998,70.362610,3809400
2018-05-24,71.750000,71.940002,70.050003,70.800003,69.440659,5526000
2018-05-25,70.660004,71.809998,70.599998,71.459999,70.087990,3705600
2018-05-29,70.800003,71.190002,69.870003,70.639999,69.283730,4855900
2018-05-30,70.919998,71.209999,70.510002,70.690002,69.332779,4093800
2018-05-31,70.830002,72.279999,70.690002,70.910004,69.548553,6050300
2018-06-01,71.419998,73.209999,70.769997,73.029999,71.627846,6388400
2018-06-04,73.250000,73.860001,72.660004,72.790001,71.392456,4134500
2018-06-05,72.790001,73.349998,72.190002,72.769997,71.372833,5354000
2018-06-06,73.260002,75.010002,73.260002,74.790001,73.354057,6638500
2018-06-07,74.790001,75.279999,73.080002,73.949997,72.530182,4686500
2018-06-08,73.449997,74.830002,73.449997,74.290001,72.863663,4672600
2018-06-11,74.250000,75.529999,74.220001,75.000000,73.560028,5108000
2018-06-12,75.230003,76.040001,74.790001,75.940002,74.481979,4311500
2018-06-13,76.040001,77.519997,75.699997,76.669998,75.197960,8634800
2018-06-14,76.830002,79.250000,76.800003,77.709999,76.217995,6717600
2018-06-15,77.660004,77.830002,76.370003,77.410004,75.923759,6596100
2018-06-18,77.019997,77.930000,76.470001,77.870003,76.374931,3993000
2018-06-19,76.639999,77.300003,75.660004,77.239998,75.757011,3735300
2018-06-20,77.250000,77.669998,76.779999,76.839996,75.364693,3566100
2018-06-21,77.169998,77.910004,75.309998,76.050003,74.589867,4233800
2018-06-22,76.459999,76.559998,75.220001,75.980003,74.521210,3978800
2018-06-25,75.190002,75.400002,74.139999,74.699997,73.265778,5390800
2018-06-26,75.320000,76.419998,74.430000,75.269997,73.824837,4865400
2018-06-27,75.769997,75.889999,73.400002,73.419998,72.010361,4497400
2018-06-28,74.000000,76.190002,73.660004,76.010002,74.550636,4755200
2018-06-29,76.440002,77.239998,76.080002,76.320000,74.854683,5072600
2018-07-02,75.360001,77.330002,75.000000,77.279999,75.796249,3324900
2018-07-03,77.680000,77.680000,75.720001,75.879997,74.423126,2028300
2018-07-05,76.510002,76.809998,75.690002,76.190002,74.727173,7998800
2018-07-06,76.199997,77.480003,76.019997,77.190002,75.707977,2954200
2018-07-09,77.699997,77.989998,75.930000,76.839996,75.364693,4518400
2018-07-10,77.000000,77.070000,75.669998,76.190002,74.727173,2944700
2018-07-11,75.349998,79.360001,75.349998,78.610001,77.100716,8191900
2018-07-12,79.290001,81.459999,78.669998,81.370003,79.807724,8698500
2018-07-13,81.400002,81.639999,79.919998,81.500000,79.935226,4550500
2018-07-16,81.610001,81.639999,80.099998,80.230003,78.689621,4153300
