Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,434.440002,436.279999,428.779999,431.739990,431.739990,502100
2018-10-16,432.230011,435.339996,424.070007,433.950012,433.950012,941600
2018-10-17,433.290009,434.609985,421.540009,429.850006,429.850006,734400
2018-10-18,424.000000,432.329987,420.859985,431.730011,431.730011,747300
2018-10-19,433.000000,436.510010,427.260010,428.540009,428.540009,511100
2018-10-22,436.049988,437.000000,426.720001,431.190002,431.190002,572700
2018-10-23,430.380005,435.410004,428.359985,434.290009,434.290009,572900
2018-10-24,432.660004,434.380005,411.549988,413.000000,413.000000,840100
2018-10-25,417.260010,427.910004,413.170013,423.880005,423.880005,1272400
2018-10-26,433.100006,441.779999,420.579987,438.380005,438.380005,1632100
2018-10-29,443.480011,453.899994,436.309998,440.869995,440.869995,881300
2018-10-30,438.679993,462.450012,438.119995,461.769989,461.769989,992900
2018-10-31,465.640015,470.779999,455.420013,460.329987,460.329987,1210600
2018-11-01,462.000000,478.420013,457.299988,472.619995,472.619995,788000
2018-11-02,475.910004,482.000000,471.149994,476.390015,476.390015,694100
2018-11-05,477.000000,480.940002,468.010010,469.649994,469.649994,705300
2018-11-06,469.679993,475.630005,466.600006,474.149994,474.149994,700400
2018-11-07,476.100006,479.799988,474.269989,477.489990,477.489990,479700
2018-11-08,477.000000,483.660004,475.989990,478.299988,478.299988,427100
2018-11-09,476.989990,491.929993,476.179993,490.760010,490.760010,891900
2018-11-12,490.290009,500.980011,488.459991,489.670013,489.670013,849000
2018-11-13,491.079987,494.140015,483.589996,484.820007,484.820007,502800
2018-11-14,483.660004,488.850006,475.630005,479.320007,479.320007,732700
2018-11-15,477.910004,477.910004,466.570007,472.299988,472.299988,658300
2018-11-16,472.000000,475.859985,468.359985,472.760010,472.760010,808500
2018-11-19,472.350006,474.399994,459.000000,465.869995,465.869995,674800
2018-11-20,455.760010,470.700012,454.369995,461.630005,461.630005,706200
2018-11-21,462.000000,475.790009,462.000000,471.260010,471.260010,431800
2018-11-23,469.000000,476.029999,467.000000,471.420013,471.420013,216500
2018-11-26,474.350006,474.529999,461.160004,466.019989,466.019989,487000
2018-11-27,463.339996,474.290009,463.339996,473.450012,473.450012,360800
2018-11-28,475.950012,493.910004,475.019989,490.519989,490.519989,665400
2018-11-29,489.950012,493.980011,482.140015,482.559998,482.559998,426700
2018-11-30,480.570007,482.549988,463.000000,473.209991,473.209991,956200
2018-12-03,477.519989,478.869995,468.000000,475.380005,475.380005,476200
2018-12-04,474.000000,483.079987,464.890015,468.350006,468.350006,553200
2018-12-06,467.290009,470.309998,453.380005,469.940002,469.940002,645800
2018-12-07,470.500000,479.869995,462.820007,467.429993,467.429993,709400
2018-12-10,469.040009,477.869995,462.480011,475.149994,475.149994,645900
2018-12-11,477.000000,479.910004,467.109985,472.350006,472.350006,396000
2018-12-12,472.350006,475.670013,464.170013,471.309998,471.309998,403200
2018-12-13,473.709991,475.790009,466.019989,472.730011,472.730011,338500
2018-12-14,467.839996,472.200012,455.299988,457.829987,457.829987,697000
2018-12-17,457.100006,459.809998,442.010010,443.500000,443.500000,822000
2018-12-18,447.880005,450.730011,438.799988,443.799988,443.799988,655400
2018-12-19,441.859985,447.380005,424.109985,427.049988,427.049988,943000
2018-12-20,422.410004,424.630005,391.670013,400.769989,400.769989,1363500
2018-12-21,401.500000,407.100006,390.700012,394.420013,394.420013,949400
2018-12-24,390.000000,392.559998,383.200012,385.839996,385.839996,425200
2018-12-26,387.040009,406.160004,383.660004,405.720001,405.720001,633300
2018-12-27,404.420013,414.570007,400.209991,414.549988,414.549988,573700
2018-12-28,415.079987,430.000000,415.079987,424.190002,424.190002,713700
2018-12-31,425.390015,433.489990,425.390015,431.790009,431.790009,501800
2019-01-02,427.829987,447.459991,423.980011,443.359985,443.359985,706300
2019-01-03,441.929993,450.000000,438.079987,439.450012,439.450012,674600
2019-01-04,444.010010,457.339996,441.279999,455.000000,455.000000,899300
2019-01-07,454.609985,485.910004,453.920013,485.149994,485.149994,1038300
2019-01-08,493.190002,499.670013,485.329987,497.369995,497.369995,883200
2019-01-09,497.190002,505.519989,491.250000,498.480011,498.480011,792700
2019-01-10,495.790009,509.829987,495.670013,509.619995,509.619995,833200
2019-01-11,507.390015,513.299988,504.000000,506.950012,506.950012,788200
2019-01-14,502.850006,510.989990,499.760010,501.989990,501.989990,839900
2019-01-15,503.000000,517.000000,500.119995,514.489990,514.489990,715100
2019-01-16,515.520020,518.919983,512.609985,514.820007,514.820007,524100
2019-01-17,511.910004,521.440002,509.010010,517.659973,517.659973,753400
2019-01-18,521.330017,523.789978,509.630005,513.239990,513.239990,880300
2019-01-22,512.200012,525.489990,511.000000,520.080017,520.080017,968100
2019-01-23,523.530029,532.409973,519.080017,521.369995,521.369995,1040300
2019-01-24,521.500000,536.049988,518.659973,533.390015,533.390015,783100
2019-01-25,539.000000,543.900024,535.349976,543.369995,543.369995,675200
2019-01-28,540.599976,542.630005,531.780029,532.000000,532.000000,578200
2019-01-29,533.000000,534.000000,519.340027,530.059998,530.059998,559200
2019-01-30,534.940002,538.630005,527.030029,532.979980,532.979980,397100
2019-01-31,532.799988,534.979980,527.460022,529.609985,529.609985,348800
2019-02-01,529.479980,530.969971,522.760010,527.200012,527.200012,643700
2019-02-04,528.260010,536.919983,525.460022,527.919983,527.919983,549900
2019-02-05,531.299988,531.799988,523.429993,526.650024,526.650024,388100
2019-02-06,527.280029,530.729980,519.090027,526.059998,526.059998,1259000
2019-02-07,568.419983,606.000000,566.679993,585.780029,585.780029,4368400
2019-02-08,582.409973,592.210022,578.609985,582.770020,582.770020,919500
2019-02-11,584.150024,608.549988,584.150024,603.359985,603.359985,1505500
2019-02-12,608.000000,612.599976,592.549988,593.659973,593.659973,941200
2019-02-13,593.570007,603.289978,593.570007,599.619995,599.619995,506700
2019-02-14,597.020020,606.900024,593.799988,604.429993,604.429993,489600
2019-02-15,606.510010,609.289978,601.179993,605.890015,605.890015,585800
2019-02-19,606.140015,609.239990,599.020020,599.460022,599.460022,489500
2019-02-20,598.409973,600.520020,594.210022,597.739990,597.739990,387100
2019-02-21,597.729980,606.630005,592.729980,601.190002,601.190002,467800
2019-02-22,600.590027,602.200012,595.760010,600.219971,600.219971,280000
2019-02-25,601.000000,604.369995,594.150024,596.659973,596.659973,481500
